feature,correlation,abs_correlation
total_bytes,0.7063360132157546,0.7063360132157546
max_bytes,0.6900146038969233,0.6900146038969233
large_req_count,0.5820673801170579,0.5820673801170579
avg_bytes,0.5313293512905516,0.5313293512905516
bytes_per_req,0.5313293512905516,0.5313293512905516
request_count,0.49846113169002865,0.49846113169002865
unique_urls,0.43161159417268735,0.43161159417268735
url_diversity,-0.3618918262202583,0.3618918262202583
error_rate,0.34912755251153854,0.34912755251153854
status_404,0.30794886627732926,0.30794886627732926
error_to_ok_ratio,0.2153658481645339,0.2153658481645339
status_500,0.0097985960815441,0.0097985960815441
post_rate,0.008324116495369157,0.008324116495369157
